City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,margate,51.3813,1.3862,10.49,71,100,1.34,GB,1682356790
111,kosh-agach,50.0,88.6667,0.21,53,100,1.17,RU,1682356718
112,port elizabeth,-33.918,25.5701,20.61,90,20,7.72,ZA,1682356790
113,hithadhoo,-0.6,73.0833,29.3,71,87,2.21,MV,1682356250
114,poronaysk,49.2167,143.1167,0.92,81,100,1.35,RU,1682356692
115,thunder bay,48.4001,-89.3168,2.99,60,75,3.09,CA,1682356574
116,san patricio,28.017,-97.5169,21.97,78,100,5.42,US,1682356791
117,kenai,60.5544,-151.2583,-2.95,80,75,0.0,US,1682356791
118,ouezzane,34.7971,-5.5822,29.47,23,0,4.57,MA,1682356791
119,mossel bay,-34.1831,22.146,17.96,88,88,3.57,ZA,1682356791
120,aykhal,66.0,111.5,-12.54,97,15,1.26,RU,1682356283
121,paredon,16.0333,-93.8667,31.48,51,27,4.45,MX,1682356791
122,anadyr,64.75,177.4833,-6.72,63,33,7.0,RU,1682356791
123,jamestown,42.097,-79.2353,6.77,93,100,5.66,US,1682356637
124,jiwani,25.05,61.7417,27.98,74,91,1.03,PK,1682356792
125,afaahiti,-17.75,-149.2833,23.93,84,86,4.72,PF,1682356792
126,shizuishan,39.2333,106.7694,9.6,57,55,2.62,CN,1682356792
127,darwin,-12.4611,130.8418,26.99,79,24,2.57,AU,1682356502
128,babu,24.4167,111.5167,12.79,92,100,2.99,CN,1682356793
129,harran,36.86,39.0314,17.61,52,1,4.25,TR,1682356793
130,kapa'a,22.0752,-159.319,21.99,91,0,3.09,US,1682356793
131,same,-4.0667,37.7333,22.35,85,57,2.2,TZ,1682356793
132,hereford,52.0568,-2.7148,8.52,91,100,0.45,GB,1682356794
133,ibia,-19.4783,-46.5389,25.7,46,0,2.25,BR,1682356794
134,lamu,-2.2717,40.902,29.12,83,97,4.48,KE,1682356372
135,khor,47.8861,134.9464,0.94,46,11,3.28,RU,1682356717
136,tromso,69.6496,18.957,1.01,55,0,2.06,NO,1682356711
137,urangan,-25.3,152.9,22.99,66,26,8.47,AU,1682356420
138,campbell river,50.0163,-125.2446,9.22,86,100,1.27,CA,1682356506
139,papao,-17.75,-149.55,24.82,84,94,5.35,PF,1682356795
140,merizo village,13.2658,144.6691,27.31,91,95,6.07,GU,1682356301
141,fort bragg,35.139,-79.006,16.92,43,20,4.12,US,1682356795
142,ishpeming,46.4885,-87.6676,4.41,60,79,3.92,US,1682356795
143,san fernando,15.0286,120.6898,26.85,89,96,1.73,PH,1682356795
144,bac lieu,9.285,105.7244,29.14,73,14,3.48,VN,1682356672
145,askiz,53.1319,90.5264,7.32,77,85,3.55,RU,1682356796
146,debark',13.1561,37.8981,18.34,28,35,1.21,ET,1682356796
147,puerto natales,-51.7236,-72.4875,8.25,93,75,1.03,CL,1682356648
148,kaiama,9.6225,3.9481,35.44,33,100,0.77,NG,1682356796
149,santo antonio,-6.3106,-35.4789,29.86,60,98,4.21,BR,1682356796
150,constantia,44.1833,28.65,11.5,80,22,5.84,RO,1682356796
151,greymouth,-42.4667,171.2,9.27,79,73,1.24,NZ,1682356796
152,alice springs,-23.7,133.8833,12.75,76,16,3.4,AU,1682356797
153,kingston,17.997,-76.7936,30.13,68,31,0.89,JM,1682356224
154,chernyshevskiy,63.0128,112.4714,-16.38,99,35,1.19,RU,1682356686
155,flying fish cove,-10.4217,105.6791,27.22,78,45,6.05,CX,1682356257
156,nabire,-3.3667,135.4833,24.68,91,93,1.06,ID,1682356688
157,yulinshi,38.2906,109.7494,5.7,76,69,2.18,CN,1682356797
158,howrah,22.5892,88.3103,24.0,83,20,1.54,IN,1682356798
159,narasannapeta,18.4167,84.05,26.28,64,92,1.52,IN,1682356798
160,wuwei,37.9281,102.6414,8.72,48,76,3.2,CN,1682356766
161,barah,13.7,30.3667,35.13,19,40,3.89,SD,1682356391
162,leh,34.1667,77.5833,-0.27,35,5,1.0,IN,1682356437
163,kosong,38.3788,128.4676,9.27,80,70,1.43,KR,1682356798
164,nagqu,31.5,92.0,-1.32,27,62,4.5,CN,1682356303
165,mil'kovo,55.6078,37.7956,18.22,46,50,2.1,RU,1682356798
166,paramonga,-10.6667,-77.8333,26.32,70,79,6.45,PE,1682356799
167,gigant,46.5066,41.3419,10.81,94,100,5.34,RU,1682356799
168,cabo san lucas,22.8909,-109.9124,32.61,41,0,3.09,MX,1682356595
169,benguela,-12.5763,13.4055,27.31,80,41,1.39,AO,1682356417
170,tucupita,9.0622,-62.051,33.17,50,46,0.91,VE,1682356302
171,lebu,-37.6167,-73.65,15.52,67,1,2.74,CL,1682356799
172,levuka,50.1834,-105.4011,2.26,77,99,6.88,CA,1682356318
173,hawaiian paradise park,19.5933,-154.9731,23.28,93,75,2.57,US,1682356799
174,escanaba,45.7453,-87.0646,7.51,39,75,2.57,US,1682356800
175,egilsstadir,65.2653,-14.3948,0.34,56,100,5.78,IS,1682356404
176,rudsar,37.1376,50.288,16.99,74,75,1.45,IR,1682356800
177,ust-nera,64.5667,143.2,-11.99,96,87,3.06,RU,1682356801
178,nadvoitsy,63.8667,34.3167,-0.74,96,100,3.57,RU,1682356801
179,manavalakurichi,8.1333,77.3,28.21,80,83,0.35,IN,1682356801
180,alamos,27.0167,-108.9333,28.39,15,12,4.19,MX,1682356802
181,iskateley,67.6803,53.1512,-5.61,90,68,3.53,RU,1682356803
182,sungailiat,-1.85,106.1333,27.37,80,100,2.1,ID,1682356804
183,sarai,53.7458,41.0213,12.07,63,58,2.99,RU,1682356552
184,qaqortoq,60.7167,-46.0333,2.09,82,43,1.83,GL,1682356805
185,dakhla,23.6848,-15.958,21.01,73,0,10.8,EH,1682356705
186,ocean shores,46.9737,-124.1563,11.64,86,100,4.12,US,1682356807
187,mount isa,-20.7333,139.5,23.87,35,100,4.63,AU,1682356807
188,nizhnyaya poyma,56.1622,97.1933,1.15,90,100,1.53,RU,1682356808
189,kralendijk,12.15,-68.2667,28.99,70,40,4.12,BQ,1682356261
190,klyuchi,52.2667,79.1667,9.56,68,74,7.81,RU,1682356707
191,visby,57.6409,18.296,9.9,81,75,4.12,SE,1682356809
